IDNUMBER,Hospital,Facility name,Address,Town,ZIP code,CHIA region,Type of hospital,Hospital system,Telephone,Facility type,norm_address,norm_name,Nursing homes within 30 minutes drive time,Hospitals within 30 minutes drive time,geometry
,,Belmont Manor Nursing and Rehabilitation Center,34 Agassiz Avenue,Belmont,2478,Metro Boston,,,,Nursing home,34 agassiz avenue,belmont manor nursing and rehabilitation center,,20.0,POINT (-71.19406248191802 42.38815185)
,,The Landing at Laurel Lake,620 Laurel Street,Lee,1238,Western Massachusetts,,,,Nursing home,620 laurel street,the landing at laurel lake,,2.0,POINT (-73.26133955561322 42.3265093)
,,Agawam North Rehab and Nursing,55 Cooper Street,Agawam,1001,Western Massachusetts,,,,Nursing home,55 cooper street,agawam north rehab and nursing,,5.0,POINT (-72.61816103207964 42.080218599999995)
,,AdviniaCare Abington,277 Washington Street,Abington,2351,Metro South,,,,Nursing home,277 washington street,adviniacare abington,,3.0,POINT (-70.94864876979801 42.10080755)
,,Rivercrest Long Term Care Facility,80 Deaconess Road,Concord,1742,Northeastern Massachusetts,,,,Nursing home,80 deaconess road,rivercrest long term care facility,,7.0,POINT (-71.37688541994147 42.451360756038156)
,,Brush Hill Care Center,1200 Brush Hill Road,Milton,2186,Metro Boston,,,,Nursing home,1200 brush hill road,brush hill care center,,17.0,POINT (-71.122659913074 42.23073215)
,,Life Care Center of Merrimack Valley,80 Boston Road,Billerica,1862,Northeastern Massachusetts,,,,Nursing home,80 boston road,life care center of merrimack valley,,8.0,POINT (-71.2960335738656 42.59276355)
,,Masconomet Healthcare Center,123 High Street,Topsfield,1983,Northeastern Massachusetts,,,,Nursing home,123 high street,masconomet healthcare center,,10.0,POINT (-70.94102804088271 42.63211105)
,,Katzman Family Center for Living,17 Lafayette Avenue,Chelsea,2150,Metro Boston,,,,Nursing home,17 lafayette avenue,katzman family center for living,,21.0,POINT (-71.03050082480353 42.40019115)
,,Aberjona Rehabilitation & Nursing Center,184 Swanton Street,Winchester,1890,Northeastern Massachusetts,,,,Nursing home,184 swanton street,aberjona rehabilitation  nursing center,,19.0,POINT (-71.13806547771736 42.4606573)
,,Pond Home,289 East Street,Wrentham,2093,Metro West,,,,Nursing home,289 east street,pond home,,4.0,POINT (-71.31607117638133 42.06494212798338)
,,Alliance Health at Baldwinville,51 Hospital Road,Templeton,1436,Central Massachusetts,,,,Nursing home,51 hospital road,alliance health at baldwinville,,3.0,POINT (-72.06048357215909 42.610867400000004)
,,Westford Nursing and Rehabilitation Center,3 Park Drive,Westford,1886,Northeastern Massachusetts,,,,Nursing home,3 park drive,westford nursing and rehabilitation center,,9.0,POINT (-71.43463308318695 42.556814700000004)
,,John Scott House Nursing & Rehabilitation Center,233 Middle Street,Braintree,2184,Metro South,,,,Nursing home,233 middle street,john scott house nursing  rehabilitation center,,14.0,POINT (-70.99235715239682 42.21755305)
,,Neville Center at Fresh Pond for Nursing & Rehab,640 Concord Avenue,Cambridge,2138,Metro Boston,,,,Nursing home,640 concord avenue,neville center at fresh pond for nursing  rehab,,20.0,POINT (-71.14799280677965 42.389222000000004)
,,St. Francis Rehabilitation & Nursing Center,101 Plantation Street,Worcester,1604,Central Massachusetts,,,,Nursing home,101 plantation street,st francis rehabilitation  nursing center,,6.0,POINT (-71.78384882397785 42.258026400000006)
,,Care One at Wilmington,750 Woburn Street,Wilmington,1887,Northeastern Massachusetts,,,,Nursing home,750 woburn street,care one at wilmington,,18.0,POINT (-71.14953004087923 42.5346051)
,,The Guardian Center,888 North Main Street,Brockton,2301,Metro South,,,,Nursing home,888 north main street,the guardian center,,8.0,POINT (-71.02807965450519 42.1061239)
,,New England Pediatric Care,78 Boston Road,Billerica,1862,Northeastern Massachusetts,,,,Nursing home,78 boston road,new england pediatric care,,7.0,POINT (-71.29585445433312 42.5928876)
,,Sterling Village,18 Dana Hill Road,Sterling,1564,Central Massachusetts,,,,Nursing home,18 dana hill road,sterling village,,7.0,POINT (-71.7976286731579 42.4106904)
,,Meadow Green Nursing and Rehabilitation Center,45 Woburn Street,Waltham,2452,Metro Boston,,,,Nursing home,45 woburn street,meadow green nursing and rehabilitation center,,18.0,POINT (-71.21867165257288 42.407845949999995)
,,Lydia Taft House,60 Quaker Highway,Uxbridge,1569,Central Massachusetts,,,,Nursing home,60 quaker highway,lydia taft house,,3.0,POINT (-71.62352848737622 42.06100105)
,,Chicopee Rehabilitation and Nursing,44 New Lombard Road,Chicopee,1020,Western Massachusetts,,,,Nursing home,44 new lombard road,chicopee rehabilitation and nursing,,6.0,POINT (-72.54203576723424 42.1678446)
,,Cedar View Rehabilitation and Healthcare Center,480 Jackson Street,Methuen,1844,Northeastern Massachusetts,,,,Nursing home,480 jackson street,cedar view rehabilitation and healthcare center,,9.0,POINT (-71.16807304424162 42.7327291)
,,Life Care Center of the South Shore,309 Driftway,Scituate,2066,Metro South,,,,Nursing home,309 driftway,life care center of the south shore,,1.0,POINT (-70.74318482072749 42.1766448)
,,German Center for Extended Care,2222 Centre Street,Boston,2132,Metro Boston,,,,Nursing home,2222 centre street,german center for extended care,,17.0,POINT (-71.15856364656862 42.27370345)
,,Vantage at South Hadley,573 Granby Road,South Hadley,1075,Western Massachusetts,,,,Nursing home,573 granby road,vantage at south hadley,,6.0,POINT (-72.5586160752016 42.23920485)
,,Chestnut Woods Rehabilitation & Healthcare Center,73 Chestnut Street,Saugus,1906,Metro Boston,,,,Nursing home,73 chestnut street,chestnut woods rehabilitation  healthcare center,,16.0,POINT (-70.99166155537591 42.4574645)
